City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
199,Deputatskiy,RU,69.3,139.9,62.51,57,64,4.25,broken clouds,0.0,0
200,Camocim,BR,-2.9,-40.84,80.71,73,34,12.48,light rain,0.35,0
201,Taquarituba,BR,-23.53,-49.24,68.67,71,0,5.1,clear sky,0.0,0
202,Cabo San Lucas,MX,22.89,-109.91,93.2,46,40,11.41,scattered clouds,0.0,0
203,Sao Filipe,CV,14.9,-24.5,74.53,79,50,6.4,scattered clouds,0.0,0
204,Kalmunai,LK,7.42,81.82,81.88,78,100,5.28,overcast clouds,0.0,0
205,Lebu,CL,-37.62,-73.65,50.22,89,100,5.79,overcast clouds,0.0,0
206,Grindavik,IS,63.84,-22.43,50.0,93,75,4.7,broken clouds,0.0,0
207,Ahipara,NZ,-35.17,173.17,57.76,87,24,6.82,light rain,0.18,0
208,Opuwo,NA,-18.06,13.84,54.64,41,0,5.44,clear sky,0.0,0
209,Kuytun,RU,54.34,101.5,53.76,78,56,2.51,broken clouds,0.0,0
210,Fortuna,US,40.6,-124.16,71.01,60,20,17.22,few clouds,0.0,0
211,San Joaquin,VE,10.26,-67.79,80.94,73,80,1.74,light rain,0.6,0
212,Mehamn,NO,71.04,27.85,46.4,87,90,5.82,overcast clouds,0.0,0
213,Kavaratti,IN,10.57,72.64,82.65,76,100,12.28,light rain,0.38,0
214,Bonavista,CA,48.65,-53.11,63.0,79,94,8.99,overcast clouds,0.0,0
215,Vanimo,PG,-2.67,141.3,77.9,83,100,1.41,light rain,0.9,0
216,Esperance,AU,-33.87,121.9,50.0,57,0,20.8,clear sky,0.0,0
217,Quatre Cocos,MU,-20.21,57.76,72.0,73,20,14.99,few clouds,0.0,0
218,Elbrus,RU,43.26,42.64,55.09,67,99,4.09,light rain,0.19,0
219,Buala,SB,-8.14,159.59,81.59,81,100,14.18,light rain,0.8,0
